Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,3205,2.914798,8.051910
50,3210,2.914798,8.067948
50,3215,2.914798,8.084010
50,3220,2.914798,8.100098
50,3225,2.914798,8.116210
50,3230,2.914798,8.132348
50,3235,2.914798,8.148510
50,3240,2.914798,8.164698
50,3245,2.914798,8.180910
50,3250,2.914798,8.197148
50,3255,2.914798,8.213410
50,3260,2.914798,8.229698
50,3265,2.914798,8.246010
50,3270,2.914798,8.262348
50,3275,2.914798,8.278710
50,3280,2.914798,8.295098
50,3285,2.914798,8.311510
50,3290,2.914798,8.327948
50,3295,2.914798,8.344410
50,3300,2.914798,8.360898
50,3305,2.914798,8.377410
50,3310,2.914798,8.393948
50,3315,2.914798,8.410510
50,3320,2.914798,8.427098
50,3325,2.914798,8.443710
50,3330,2.914798,8.460348
50,3335,2.914798,8.477010
50,3340,2.914798,8.493698
50,3345,2.914798,8.510410
50,3350,2.914798,8.527148
50,3355,2.914798,8.543910
50,3360,2.914798,8.560698
50,3365,2.914798,8.577510
50,3370,2.914798,8.594348
50,3375,2.914798,8.611210
50,3380,2.914798,8.628098
50,3385,2.914798,8.645010
50,3390,2.914798,8.661948
50,3395,2.914798,8.678910
50,3400,2.914798,8.695898
50,3405,2.914798,8.712910
50,3410,2.914798,8.729948
50,3415,2.914798,8.747010
50,3420,2.914798,8.764098
50,3425,2.914798,8.781210
50,3430,2.914798,8.798348
50,3435,2.914798,8.815510
50,3440,2.914798,8.832698
50,3445,2.914798,8.849910
50,3450,2.914798,8.867148
50,3455,2.914798,8.884410
50,3460,2.914798,8.901698
50,3465,2.914798,8.919010
50,3470,2.914798,8.936348
50,3475,2.914798,8.953710
50,3480,2.914798,8.971098
50,3485,2.914798,8.988510
50,3490,2.914798,9.005948
50,3495,2.914798,9.023410
50,3500,2.914798,9.040898
50,3505,2.914798,9.058410
50,3510,2.914798,9.075948
50,3515,2.914798,9.093510
50,3520,2.914798,9.111098
50,3525,2.914798,9.128710
50,3530,2.914798,9.146348
50,3535,2.914798,9.164010
50,3540,2.914798,9.181698
50,3545,2.914798,9.199410
50,3550,2.914798,9.217148
50,3555,2.914798,9.234910
50,3560,2.914798,9.252698
50,3565,2.914798,9.270510
50,3570,2.914798,9.288348
50,3575,2.914798,9.306210
50,3580,2.914798,9.324098
50,3585,2.914798,9.342010
50,3590,2.914798,9.359948
50,3595,2.914798,9.377910
50,3600,2.914798,9.395898
50,3605,2.914798,9.413910
50,3610,2.914798,9.431948
50,3615,2.914798,9.450010
50,3620,2.914798,9.468098
50,3625,2.914798,9.486210
50,3630,2.914798,9.504348
50,3635,2.914798,9.522510
50,3640,2.914798,9.540698
50,3645,2.914798,9.558910
50,3650,2.914798,9.577148
50,3655,2.914798,9.595410
50,3660,2.914798,9.613698
50,3665,2.914798,9.632010
50,3670,2.914798,9.650348
50,3675,2.914798,9.668710
50,3680,2.914798,9.687098
50,3685,2.914798,9.705510
50,3690,2.914798,9.723948
50,3695,2.914798,9.742410
50,3700,2.914798,9.760898
50,3705,2.914798,9.779410
50,3710,2.914798,9.797948
50,3715,2.914798,9.816510
50,3720,2.914798,9.835098
50,3725,2.914798,9.853710
50,3730,2.914798,9.872348
50,3735,2.914798,9.891010
50,3740,2.914798,9.909698
50,3745,2.914798,9.928410
55,50,5.759538,2.914798
55,55,2.617801,5.401842
55,60,2.579301,4.997088
55,65,2.562465,4.680885
55,70,2.592638,4.381837
55,75,2.560048,4.267010
55,80,2.558950,4.095018
55,85,2.562465,3.925261
55,90,2.560048,3.879285
55,95,2.562465,3.782480
55,100,2.562365,3.760265
55,105,2.562465,3.723317
55,110,2.560048,3.649409
55,115,2.562465,3.627507
55,120,2.562432,3.812289
55,125,2.562465,3.769181
55,130,2.562465,3.685968
55,135,2.561368,3.611081
55,140,2.562365,3.586965
55,145,2.562380,3.621436
55,150,2.560048,3.622798
55,155,2.558950,3.554512
55,160,2.558950,3.531057
55,165,2.560048,3.498976
55,170,2.562465,3.468652
55,175,2.562465,3.525552
55,180,2.562465,3.542800
55,185,2.562469,3.570878
55,190,2.562465,3.544360
55,195,2.562465,3.523950
55,200,2.562465,3.509927
55,205,2.562432,3.481292
55,210,2.562465,3.494861
55,215,2.562465,3.506823
55,220,2.562465,3.511018
55,225,2.560048,3.490491
55,230,2.562465,3.492974
